Thread,Rank,Iteration,Time
0,100,500,0.0234352
0,100,1000,0.0484568
0,100,2000,0.0907225
0,100,4000,0.184101
0,100,6000,0.354138
0,100,8000,0.364048
0,100,10000,0.508315
0,100,12000,0.564342
